filename,mawb,consignee,shipper,wieght,Origin,nature OF good,dest,agent
/home/arya/Desktop/shipmnts/OTH-M/2134/6.jpg,[u'176-85048843'],"[u'TO', u'JEENA', u'&', u'COMPANY']",[u':'],[u' 410.00'],,AMIRDE MARNECS,,
/home/arya/Desktop/shipmnts/OTH-M/2134/8.jpg,"[u'607-79274123', u'607-79274123']","[u'TO', u'JEENA', u'&', u'COMPANY']",[u':'],"[u' 433.0', u' 433.00']",,"e e e

- HARNFR]S",,
/home/arya/Desktop/shipmnts/OTH-M/2134/1.jpg,"[u'607-81491001', u'607-81491001']","[u'TO', u'JEENA', u'&']","[u':', u'AUTOMOTIVE', u'SYSTEMS', u'INC.']","[u' 615.0', u' 615.00']",,"e e e et e . e

NIRE HARNESS",,
/home/arya/Desktop/shipmnts/OTH-M/2134/3.jpg,"[u'607-80047800', u'607-80047800']","[u'TO', u'JEENA', u'&', u'COMPANY']",[u':'],"[u' 465.0', u' 465.00']",,")IMPANY.
VIRE MARNEQSR",,
/home/arya/Desktop/shipmnts/OTH-M/2134/10.jpg,"[u'157-35490792', u'157-35490792']","[u'TO', u'JEENA', u'&', u'COMPANY']","113 EAST
BINAN L/","[u'1,18']",,"OMPANY i
S TEERING RO COCONNECTO",,
/home/arya/Desktop/shipmnts/OTH-M/2134/4.jpg,"[u'607-79279745', u'607-79279745']","[u'TO', u'JEENA', u'&', u'COMPANY']","[u':', u'AUTOMOTIVE', u'SYSTEMS', u'INC.']","[u' 447.0', u' 447.00']",,"IMPANY
VIRF HARNEGSS",,
/home/arya/Desktop/shipmnts/OTH-M/2134/2.jpg,[u'607-81054341'],[u'MINDA'],[u':'],[u' 415.0'],,MARTS FOR WIREF HARNESS,,
/home/arya/Desktop/shipmnts/OTH-M/2134/7.jpg,"[u'176-90218796', u'176-90218796']","[u'TO', u'JEENA', u'&', u'COMPANY']","[u':', u'PHILIPPINES']","[u'1,36']",,";OMPANY
MO! DED BUSRAR",,
/home/arya/Desktop/shipmnts/OTH-M/2134/5.jpg,[u'176-30218811'],"[u'TO', u'JEENA', u'&', u'COMPANY']","[u':', u'AUTOMOTIVE', u'SYSTEMS', u'INC.']","[u' 510.0', u' 510.00']",,"PANY
*E HARNESS",,
/home/arya/Desktop/shipmnts/OTH-M/2134/9.jpg,"[u'607-79279760', u'607-79279760']","[u'TO', u'JEENA', u'&', u'COMPANY']",[u':'],"[u' 200.0', u' 200.00']",,"NY
2INNC RO 1 CONNECTOR (SRCY",,
